epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.6035,0.7945,0.4311,0.8545,16.15,3096.3,mobilenet_v2,host-100pct,100pct,cuda,hamta
2,0.3744,0.8719,0.3883,0.8660,17.49,2858.8,mobilenet_v2,host-100pct,100pct,cuda,hamta
3,0.3114,0.8935,0.3477,0.8843,17.36,2879.8,mobilenet_v2,host-100pct,100pct,cuda,hamta
4,0.2753,0.9053,0.3391,0.8850,18.81,2657.9,mobilenet_v2,host-100pct,100pct,cuda,hamta
5,0.2418,0.9166,0.3229,0.8921,19.16,2609.1,mobilenet_v2,host-100pct,100pct,cuda,hamta
