epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.7058,0.7630,0.5687,0.8011,11.22,4454.5,resnet18,host-70pct,70pct,cuda,hamta
2,0.4701,0.8426,0.6141,0.8004,11.36,4400.8,resnet18,host-70pct,70pct,cuda,hamta
3,0.3864,0.8697,0.4959,0.8318,12.98,3852.9,resnet18,host-70pct,70pct,cuda,hamta
4,0.3303,0.8896,0.4452,0.8526,12.52,3994.9,resnet18,host-70pct,70pct,cuda,hamta
5,0.2836,0.9068,0.4324,0.8604,9.77,5117.1,resnet18,host-70pct,70pct,cuda,hamta
