epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,1.7901,0.2739,1.4171,0.4437,29.98,1668.0,vgg16,concurrent-70-30-mixed-vgg16,70pct-concurrent,cuda,hamta
2,1.2768,0.5240,1.2359,0.5726,29.61,1688.4,vgg16,concurrent-70-30-mixed-vgg16,70pct-concurrent,cuda,hamta
3,1.0157,0.6464,0.9695,0.6633,28.37,1762.7,vgg16,concurrent-70-30-mixed-vgg16,70pct-concurrent,cuda,hamta
4,0.8588,0.7069,0.8379,0.7229,26.81,1865.0,vgg16,concurrent-70-30-mixed-vgg16,70pct-concurrent,cuda,hamta
5,0.7833,0.7392,0.7584,0.7539,27.04,1848.8,vgg16,concurrent-70-30-mixed-vgg16,70pct-concurrent,cuda,hamta
