epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.7029,0.7645,0.6735,0.7730,14.00,3571.7,resnet18,concurrent-70-30-mixed-resnet18,30pct-concurrent,cuda,hamta
2,0.4705,0.8414,0.6081,0.7984,15.67,3191.3,resnet18,concurrent-70-30-mixed-resnet18,30pct-concurrent,cuda,hamta
3,0.3880,0.8691,0.4789,0.8433,14.88,3359.5,resnet18,concurrent-70-30-mixed-resnet18,30pct-concurrent,cuda,hamta
4,0.3325,0.8873,0.4813,0.8397,15.60,3206.1,resnet18,concurrent-70-30-mixed-resnet18,30pct-concurrent,cuda,hamta
5,0.2787,0.9058,0.4359,0.8612,15.61,3202.1,resnet18,concurrent-70-30-mixed-resnet18,30pct-concurrent,cuda,hamta
