epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.6385,0.7877,0.4001,0.8670,25.08,1993.3,efficientnet_b0,gpu-baseline,native,cuda,e4a274439caf
2,0.3575,0.8810,0.3280,0.8899,25.93,1928.5,efficientnet_b0,gpu-baseline,native,cuda,e4a274439caf
3,0.2777,0.9058,0.2846,0.9060,26.56,1882.4,efficientnet_b0,gpu-baseline,native,cuda,e4a274439caf
4,0.2326,0.9203,0.3279,0.8913,27.01,1851.2,efficientnet_b0,gpu-baseline,native,cuda,e4a274439caf
5,0.1982,0.9308,0.3068,0.8955,24.42,2047.8,efficientnet_b0,gpu-baseline,native,cuda,e4a274439caf
