epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.6987,0.7672,0.5843,0.8036,8.82,5666.7,resnet18,host-100pct,100pct,cuda,hamta
2,0.4726,0.8426,0.5231,0.8251,9.83,5087.8,resnet18,host-100pct,100pct,cuda,hamta
3,0.3819,0.8730,0.5404,0.8168,11.17,4477.5,resnet18,host-100pct,100pct,cuda,hamta
4,0.3244,0.8912,0.4779,0.8421,8.16,6124.6,resnet18,host-100pct,100pct,cuda,hamta
5,0.2786,0.9058,0.5064,0.8319,7.84,6376.4,resnet18,host-100pct,100pct,cuda,hamta
