epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,1.7232,0.3251,1.3726,0.4758,33.74,1482.0,vgg16,host-30pct,30pct,cuda,hamta
2,1.1521,0.5900,1.2207,0.5857,33.71,1483.1,vgg16,host-30pct,30pct,cuda,hamta
3,0.9310,0.6867,0.9027,0.7046,33.36,1498.7,vgg16,host-30pct,30pct,cuda,hamta
4,0.8140,0.7326,0.8503,0.7272,33.58,1489.1,vgg16,host-30pct,30pct,cuda,hamta
5,0.7483,0.7547,0.8105,0.7423,33.57,1489.4,vgg16,host-30pct,30pct,cuda,hamta
