epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.7102,0.7618,0.6102,0.7970,8.77,5701.0,resnet18,concurrent-30-70-resnet,30pct-concurrent,cuda,hamta
2,0.4771,0.8393,0.4953,0.8358,8.18,6113.5,resnet18,concurrent-30-70-resnet,30pct-concurrent,cuda,hamta
3,0.3935,0.8666,0.4352,0.8527,9.11,5487.6,resnet18,concurrent-30-70-resnet,30pct-concurrent,cuda,hamta
4,0.3339,0.8876,0.4424,0.8520,8.46,5913.6,resnet18,concurrent-30-70-resnet,30pct-concurrent,cuda,hamta
5,0.2740,0.9073,0.4684,0.8498,8.30,6027.6,resnet18,concurrent-30-70-resnet,30pct-concurrent,cuda,hamta
