epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,2.3097,0.1018,2.3052,0.1000,26.29,1901.6,vgg16,host-100pct,100pct,cuda,hamta
2,2.3048,0.0971,2.3035,0.1000,26.63,1877.5,vgg16,host-100pct,100pct,cuda,hamta
3,2.3040,0.0966,2.3030,0.1000,25.70,1945.4,vgg16,host-100pct,100pct,cuda,hamta
4,2.3038,0.0992,2.3035,0.1000,25.51,1960.1,vgg16,host-100pct,100pct,cuda,hamta
5,2.3040,0.0989,2.3028,0.1000,25.38,1970.3,vgg16,host-100pct,100pct,cuda,hamta
