epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.7015,0.7669,0.5993,0.8013,9.43,5302.7,resnet18,gpu-baseline,native,cuda,5d0106c8cdb6
2,0.4751,0.8399,0.4737,0.8447,12.71,3935.2,resnet18,gpu-baseline,native,cuda,5d0106c8cdb6
3,0.3847,0.8718,0.6637,0.7859,9.31,5369.0,resnet18,gpu-baseline,native,cuda,5d0106c8cdb6
4,0.3223,0.8900,0.4143,0.8627,12.57,3976.5,resnet18,gpu-baseline,native,cuda,5d0106c8cdb6
5,0.2783,0.9059,0.4041,0.8653,11.29,4430.0,resnet18,gpu-baseline,native,cuda,5d0106c8cdb6
