epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.6073,0.7934,0.4109,0.8659,15.44,3238.9,mobilenet_v2,host-30pct,30pct,cuda,hamta
2,0.3815,0.8699,0.3768,0.8691,18.46,2707.9,mobilenet_v2,host-30pct,30pct,cuda,hamta
3,0.3144,0.8919,0.3511,0.8836,18.91,2644.0,mobilenet_v2,host-30pct,30pct,cuda,hamta
4,0.2714,0.9071,0.3184,0.8920,16.75,2985.1,mobilenet_v2,host-30pct,30pct,cuda,hamta
5,0.2463,0.9147,0.3365,0.8901,19.61,2549.6,mobilenet_v2,host-30pct,30pct,cuda,hamta
