epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,1.6980,0.3329,1.5440,0.4202,47.60,1050.5,vgg16,concurrent-50-50-vgg-vgg16,50pct-concurrent,cuda,hamta
2,1.2008,0.5665,1.2604,0.5740,47.61,1050.2,vgg16,concurrent-50-50-vgg-vgg16,50pct-concurrent,cuda,hamta
3,0.9882,0.6565,1.0024,0.6653,47.51,1052.3,vgg16,concurrent-50-50-vgg-vgg16,50pct-concurrent,cuda,hamta
4,0.8916,0.6964,0.8538,0.7025,47.64,1049.5,vgg16,concurrent-50-50-vgg-vgg16,50pct-concurrent,cuda,hamta
5,0.8227,0.7211,0.8321,0.7201,47.20,1059.3,vgg16,concurrent-50-50-vgg-vgg16,50pct-concurrent,cuda,hamta
