epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,throughput_img_per_sec,model,experiment_tag,sm_allocation,device,hostname
1,0.5899,0.8014,0.4113,0.8611,16.67,2998.7,mobilenet_v2,concurrent-30-70-mobilenet,70pct-concurrent,cuda,hamta
2,0.3709,0.8737,0.3670,0.8773,16.01,3122.6,mobilenet_v2,concurrent-30-70-mobilenet,70pct-concurrent,cuda,hamta
3,0.3064,0.8931,0.3395,0.8835,18.11,2760.7,mobilenet_v2,concurrent-30-70-mobilenet,70pct-concurrent,cuda,hamta
4,0.2669,0.9090,0.3664,0.8829,17.79,2809.8,mobilenet_v2,concurrent-30-70-mobilenet,70pct-concurrent,cuda,hamta
5,0.2344,0.9197,0.3455,0.8869,19.70,2538.2,mobilenet_v2,concurrent-30-70-mobilenet,70pct-concurrent,cuda,hamta
